Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-30,42.58,42.965,42.05,42.1,2836443.0,0.0,1.0,42.58,42.965,42.05,42.1,2836443.0
2015-01-29,42.67,43.13,42.26,42.94,2013921.0,0.0,1.0,42.67,43.13,42.26,42.94,2013921.0
2015-01-28,43.48,43.56,42.61,42.66,1470344.0,0.0,1.0,43.48,43.56,42.61,42.66,1470344.0
2015-01-26,43.14,43.43,42.57,43.3,2817952.0,0.0,1.0,43.14,43.43,42.57,43.3,2817952.0
2015-01-23,44.05,44.09,43.31,43.35,1790112.0,0.0,1.0,44.05,44.09,43.31,43.35,1790112.0
2015-01-22,44.17,44.3,43.71,44.14,2615277.0,0.0,1.0,44.17,44.3,43.71,44.14,2615277.0
2015-01-21,43.26,44.275,43.165,43.93,1616879.0,0.0,1.0,43.26,44.275,43.165,43.93,1616879.0
2015-01-20,43.38,43.66,42.9,43.41,2654929.0,0.0,1.0,43.38,43.66,42.9,43.41,2654929.0
2015-01-15,43.64,43.77,42.05,42.26,4843793.0,0.0,1.0,43.64,43.77,42.05,42.26,4843793.0
2015-01-14,42.69,43.43,42.46,43.3,2022026.0,0.0,1.0,42.69,43.43,42.46,43.3,2022026.0
2015-01-13,43.79,43.8,42.65,43.11,2393844.0,0.0,1.0,43.79,43.8,42.65,43.11,2393844.0
2015-01-12,43.79,43.93,43.26,43.42,1262929.0,0.0,1.0,43.79,43.93,43.26,43.42,1262929.0
2015-01-08,44.2,44.59,43.955,44.07,2604289.0,0.0,1.0,44.2,44.59,43.955,44.07,2604289.0
2015-01-06,44.33,44.43,42.72,43.02,2600934.0,0.0,1.0,44.33,44.43,42.72,43.02,2600934.0
2015-01-05,44.16,44.88,44.0,44.22,2691423.0,0.0,1.0,44.16,44.88,44.0,44.22,2691423.0
2015-01-02,44.22,44.32,43.59,43.88,1640855.0,0.0,1.0,44.22,44.32,43.59,43.88,1640855.0
2014-12-31,44.89,44.99,44.17,44.22,1328687.0,0.0,1.0,44.89,44.99,44.17,44.22,1328687.0
2014-12-30,45.28,45.49,44.82,44.85,978007.0,0.0,1.0,45.28,45.49,44.82,44.85,978007.0
2014-12-26,45.21,45.47,45.12,45.16,643220.0,0.0,1.0,45.21,45.47,45.12,45.16,643220.0
2014-12-24,45.57,45.57,45.09,45.1,533645.0,0.0,1.0,45.57,45.57,45.09,45.1,533645.0
2014-12-23,44.92,45.38,44.85,45.33,1343629.0,0.0,1.0,44.92,45.38,44.85,45.33,1343629.0
2014-12-22,45.0,45.097,44.49,44.65,2093751.0,0.0,1.0,45.0,45.097,44.49,44.65,2093751.0
2014-12-19,44.54,45.155,44.42,44.8,4117524.0,0.0,1.0,44.54,45.155,44.42,44.8,4117524.0
2014-12-18,43.37,44.41,43.03,44.29,3668082.0,0.0,1.0,43.37,44.41,43.03,44.29,3668082.0
2014-12-17,42.0,42.87,41.77,42.75,1918649.0,0.0,1.0,42.0,42.87,41.77,42.75,1918649.0
2014-12-16,42.12,42.97,41.83,41.86,2068011.0,0.0,1.0,42.12,42.97,41.83,41.86,2068011.0
2014-12-15,43.35,43.4175,42.26,42.36,2386218.0,0.0,1.0,43.35,43.4175,42.26,42.36,2386218.0
2014-12-12,43.86,44.16,43.15,43.17,2370658.0,0.0,1.0,43.86,44.16,43.15,43.17,2370658.0
2014-12-10,43.55,43.89,43.5,43.74,2448804.0,0.0,1.0,43.55,43.89,43.5,43.74,2448804.0
2014-12-09,43.17,43.81,43.1535,43.73,1970003.0,0.0,1.0,43.17,43.81,43.1535,43.73,1970003.0
2014-12-05,43.63,44.27,43.56,44.2,2451863.0,0.0,1.0,43.63,44.27,43.56,44.2,2451863.0
2014-12-04,43.73,44.05,43.54,43.63,1814603.0,0.0,1.0,43.73,44.05,43.54,43.63,1814603.0
2014-12-02,43.58,44.56,43.44,44.53,2900367.0,0.0,1.0,43.58,44.56,43.44,44.53,2900367.0
2014-12-01,43.65,44.03,43.5,43.51,1692638.0,0.0,1.0,43.65,44.03,43.5,43.51,1692638.0
2014-11-28,43.88,44.12,43.73,43.94,761795.0,0.0,1.0,43.88,44.12,43.73,43.94,761795.0
2014-11-26,43.92,44.1,43.68,43.8,976609.0,0.0,1.0,43.92,44.1,43.68,43.8,976609.0
2014-11-25,43.92,44.22,43.85,43.87,2153942.0,0.0,1.0,43.92,44.22,43.85,43.87,2153942.0
2014-11-24,43.73,44.33,43.73,43.85,2299431.0,0.0,1.0,43.73,44.33,43.73,43.85,2299431.0
2014-11-21,44.45,44.45,43.63,43.72,2418497.0,0.0,1.0,44.45,44.45,43.63,43.72,2418497.0
2014-11-20,43.37,44.55,43.335,43.97,3717382.0,0.0,1.0,43.37,44.55,43.335,43.97,3717382.0
2014-11-19,43.26,43.645,43.2101,43.57,2452741.0,0.25,1.0,43.26,43.645,43.2101,43.57,2452741.0
2014-11-18,43.28,43.8,43.08,43.63,2432691.0,0.0,1.0,43.03308078503,43.550114103149,42.834221816522,43.381083979918,2432691.0
