Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-30,17.68,17.9,16.72,16.82,311134.0,0.0,1.0,17.68,17.9,16.72,16.82,311134.0
2015-01-29,17.68,17.87,17.38,17.78,256584.0,0.0,1.0,17.68,17.87,17.38,17.78,256584.0
2015-01-28,17.51,17.86,17.5,17.58,346064.0,0.0,1.0,17.51,17.86,17.5,17.58,346064.0
2015-01-26,17.91,18.07,17.58,17.95,230790.0,0.0,1.0,17.91,18.07,17.58,17.95,230790.0
2015-01-23,17.98,18.14,17.876,17.92,380729.0,0.0,1.0,17.98,18.14,17.876,17.92,380729.0
2015-01-22,17.93,17.995,17.63,17.94,288291.0,0.0,1.0,17.93,17.995,17.63,17.94,288291.0
2015-01-21,18.15,18.15,17.52,17.85,350374.0,0.0,1.0,18.15,18.15,17.52,17.85,350374.0
2015-01-20,18.36,18.38,17.57,18.15,344048.0,0.0,1.0,18.36,18.38,17.57,18.15,344048.0
2015-01-15,18.83,18.9,17.9,17.95,352289.0,0.0,1.0,18.83,18.9,17.9,17.95,352289.0
2015-01-14,18.94,19.3,18.69,18.74,290668.0,0.0,1.0,18.94,19.3,18.69,18.74,290668.0
2015-01-12,19.19,19.59,18.71,19.55,292561.0,0.0,1.0,19.19,19.59,18.71,19.55,292561.0
2015-01-08,18.78,19.48,18.35,19.03,314341.0,0.0,1.0,18.78,19.48,18.35,19.03,314341.0
2015-01-07,18.21,18.54,18.0262,18.52,307101.0,0.0,1.0,18.21,18.54,18.0262,18.52,307101.0
2015-01-06,19.12,19.35,17.72,18.02,399206.0,0.0,1.0,19.12,19.35,17.72,18.02,399206.0
2015-01-05,19.04,19.44,18.8701,19.11,206635.0,0.0,1.0,19.04,19.44,18.8701,19.11,206635.0
2015-01-02,19.64,19.93,18.8,19.13,249707.0,0.0,1.0,19.64,19.93,18.8,19.13,249707.0
2014-12-31,19.46,20.08,19.43,19.63,691682.0,0.0,1.0,19.46,20.08,19.43,19.63,691682.0
2014-12-30,19.8,19.88,19.11,19.39,256066.0,0.0,1.0,19.8,19.88,19.11,19.39,256066.0
2014-12-29,19.21,20.12,19.21,20.0,319691.0,0.0,1.0,19.21,20.12,19.21,20.0,319691.0
2014-12-26,18.39,19.25,18.22,19.2,177879.0,0.0,1.0,18.39,19.25,18.22,19.2,177879.0
