Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-01-30,136.31,138.38,135.52,136.13,4233914.0,0.0,1.0,136.31,138.38,135.52,136.13,4233914.0
2015-01-29,141.11,141.31,136.9,137.77,1976475.0,0.0,1.0,141.11,141.31,136.9,137.77,1976475.0
2015-01-28,144.84,145.34,138.56,139.1,2305965.0,0.0,1.0,144.84,145.34,138.56,139.1,2305965.0
2015-01-26,143.71,145.46,143.57,145.07,1163572.0,0.0,1.0,143.71,145.46,143.57,145.07,1163572.0
2015-01-23,146.39,146.39,143.73,144.16,1416154.0,0.0,1.0,146.39,146.39,143.73,144.16,1416154.0
2015-01-22,144.28,146.49,142.99,146.09,1387180.0,0.0,1.0,144.28,146.49,142.99,146.09,1387180.0
2015-01-21,143.07,144.32,141.96,143.33,1721836.0,0.0,1.0,143.07,144.32,141.96,143.33,1721836.0
2015-01-20,145.52,146.44,142.59,143.78,2270951.0,0.0,1.0,145.52,146.44,142.59,143.78,2270951.0
2015-01-15,143.87,145.75,142.96,143.37,2651409.0,0.0,1.0,143.87,145.75,142.96,143.37,2651409.0
2015-01-14,145.24,145.24,140.23,143.23,3567217.0,0.0,1.0,145.24,145.24,140.23,143.23,3567217.0
2015-01-13,147.78,150.81,146.39,147.3,1674196.0,0.0,1.0,147.78,150.81,146.39,147.3,1674196.0
2015-01-12,146.5,147.533,145.12,145.74,1467810.0,0.0,1.0,146.5,147.533,145.12,145.74,1467810.0
2015-01-08,145.825,149.88,145.99,147.73,2356731.0,0.0,1.0,145.825,149.88,145.99,147.73,2356731.0
2015-01-06,146.77,146.81,143.0,145.0,2477080.0,0.0,1.0,146.77,146.81,143.0,145.0,2477080.0
2015-01-05,149.8,149.95,146.15,147.02,1493050.0,0.0,1.0,149.8,149.95,146.15,147.02,1493050.0
2015-01-02,152.97,153.54,149.58,150.66,827991.0,0.0,1.0,152.97,153.54,149.58,150.66,827991.0
2014-12-31,155.15,155.95,151.95,152.06,1223754.0,0.0,1.0,155.15,155.95,151.95,152.06,1223754.0
2014-12-30,154.19,155.91,153.25,154.67,1222330.0,0.0,1.0,154.19,155.91,153.25,154.67,1222330.0
2014-12-26,151.5,153.32,150.77,152.83,1107930.0,0.0,1.0,151.5,153.32,150.77,152.83,1107930.0
2014-12-24,151.38,151.57,150.79,151.15,763687.0,0.0,1.0,151.38,151.57,150.79,151.15,763687.0
2014-12-23,150.76,152.82,150.21,150.98,1759359.0,0.0,1.0,150.76,152.82,150.21,150.98,1759359.0
2014-12-22,148.68,151.12,148.67,150.07,4683333.0,0.0,1.0,148.68,151.12,148.67,150.07,4683333.0
2014-12-19,146.07,149.9,145.85,149.31,2673986.0,0.0,1.0,146.07,149.9,145.85,149.31,2673986.0
2014-12-18,143.77,146.63,143.08,146.35,2268776.0,0.0,1.0,143.77,146.63,143.08,146.35,2268776.0
2014-12-17,143.99,144.8,142.75,144.04,1367290.0,0.0,1.0,143.99,144.8,142.75,144.04,1367290.0
2014-12-16,143.64,146.29,143.03,143.1,1325451.0,0.0,1.0,143.64,146.29,143.03,143.1,1325451.0
2014-12-15,145.66,146.27,143.5,144.08,674804.0,0.0,1.0,145.66,146.27,143.5,144.08,674804.0
2014-12-10,146.02,147.12,145.2,145.2,1267722.0,0.0,1.0,146.02,147.12,145.2,145.2,1267722.0
2014-12-09,146.86,147.35,145.7,146.75,1040215.0,0.0,1.0,146.86,147.35,145.7,146.75,1040215.0
2014-12-05,147.92,149.07,147.15,147.53,1364799.0,0.0,1.0,147.92,149.07,147.15,147.53,1364799.0
2014-12-04,149.11,149.5,147.19,147.95,1685653.0,0.0,1.0,149.11,149.5,147.19,147.95,1685653.0
2014-12-02,148.24,149.49,147.8622,149.29,4353546.0,0.0,1.0,148.24,149.49,147.8622,149.29,4353546.0
2014-12-01,148.77,149.1,147.8,148.22,1093537.0,0.0,1.0,148.77,149.1,147.8,148.22,1093537.0
2014-11-28,149.6,150.0,148.72,149.28,1160622.0,0.0,1.0,149.6,150.0,148.72,149.28,1160622.0
2014-11-26,149.56,149.75,148.8,149.53,846345.0,0.0,1.0,149.56,149.75,148.8,149.53,846345.0
2014-11-25,145.825,149.9,145.62,149.59,2970984.0,0.75,1.0,145.825,149.9,145.62,149.59,2970984.0
2014-11-24,142.84,146.25,142.84,146.24,2719905.0,0.0,1.0,142.84,146.25,142.84,146.24,2719905.0
2014-11-21,145.81,145.81,142.52,142.52,2277530.0,0.0,1.0,145.81,145.81,142.52,142.52,2277530.0
2014-11-20,142.36,143.71,141.91,143.71,1902790.0,0.0,1.0,141.64980976453,142.99307502993,141.20205467607,142.99307502993,1902790.0
2014-11-19,142.0,143.79,141.57,143.61,3275778.0,0.0,1.0,141.29160569376,143.07267593455,140.86375083145,142.89357389916,3275778.0
2014-11-18,141.81,142.9,140.6,142.59,2793001.0,0.0,1.0,141.1025535453,142.18711587069,139.89858986298,141.87866236531,2793001.0
2014-11-17,139.3,141.94,139.24,141.77,3867203.0,0.0,1.0,138.60507516296,141.2319050153,138.5453744845,141.06275309299,3867203.0
2014-11-14,140.6,141.19,139.54,140.01,2992859.0,0.0,1.0,139.89858986298,140.48564653452,138.84387787681,139.31153319143,2992859.0
2014-11-13,138.67,141.66,137.5,141.05,6931441.0,0.0,1.0,137.97821803911,140.95330184914,136.8140548091,140.34634495144,6931441.0
2014-11-12,135.37,138.79,134.81,136.48,5863863.0,0.0,1.0,134.69468072369,138.09761939604,134.13747439138,135.79914327524,5863863.0
